"endTime","artistName","trackName","msPlayed"
"2022-03-26 05:28","BTS","Permission to Dance",187585
"2022-03-26 05:32","BTS","Dynamite",199053
"2022-03-26 05:57","Coldplay","My Universe",211040
"2022-03-26 08:11","Rex Orange County","KEEP IT UP",13750
"2022-03-26 08:14","Sam Concepcion","Diwata (Miss Universe Philippines 2021)",210959
"2022-03-26 08:18","Alfie Castley","Teenage Mona Lisa",198607
"2022-03-26 09:58","Gatton","When Scars Become Art",266262
"2022-03-27 08:04","mrld","Ligaya",238150
"2022-03-27 08:04","Adie","Tahanan",1640
"2022-03-27 08:22","Zack Tabudlo","Pano",30660
"2022-03-27 09:26","Ang Walang Kwentang Podcast","Rally Memz: Mga Pinulikat Like Tonette and JP",2611850
"2022-03-28 09:13","Ang Walang Kwentang Podcast","Rally Memz: Mga Pinulikat Like Tonette and JP",827728
"2022-03-29 03:43","Ang Walang Kwentang Podcast","Sabi ni Penny, “I Saw The Sign”. Sabi ni Julia Barretto, “I Saw The Seniors.” Feat. Julia Barretto",764080
"2022-03-29 11:35","BTS","Dynamite",199053
"2022-03-29 11:38","Coldplay","My Universe",228000
"2022-03-29 12:19","The Maine","Loved You A Little (with Taking Back Sunday and Charlotte Sands)",190206
"2022-03-30 06:32","Silent Sanctuary","Sa'yo",2910
"2022-03-30 06:38","South Border","Rainbow",347120
"2022-03-30 06:43","Silent Sanctuary","Ikaw Lamang",306466
"2022-03-30 06:47","krissy & ericka","12:51",246280
"2022-03-30 06:50","Parokya Ni Edgar","Your Song",168493
"2022-03-30 06:52","Ben&Ben","Sa Susunod na Habang Buhay",108222
"2022-03-30 06:56","This Band","Kahit Ayaw Mo Na",243015
"2022-03-30 07:01","Ben&Ben","Kathang Isip",318814
